path_or_group,purpose,audience,current_status,duplicate,outdated,factual_issue,disposition,authority,verification
.github/PULL_REQUEST_TEMPLATE.md,PR scope evidence and rollback checklist,contributors|reviewers,MAINTAINED,no,no,no,ADD,CONTRIBUTING.md,PR67_CI_PASS
docs/branch_governance_20260709.md,Branch governance decision record,maintainers,DECISION_RECORD,no,no,no,RETAIN,document itself,STATIC_REVIEW
docs/REPOSITORY_OPTIMIZATION_SOP.md,Repository optimization process,maintainers,MAINTAINED_SOP,no,no,no,RETAIN,document itself,STATIC_REVIEW
docs/PIPELINE_06_GENERATIVE_MIGRATION.md,Future generative migration contract,developers|researchers,EXPERIMENTAL_CONTRACT,no,no,no,RETAIN,document itself,STATIC_REVIEW
docs/HPC.md,Site-specific HPC guidance,cluster_users,STATUS_PAGE,no,yes,YCRC-specific claims and wrong entrypoint,REWRITE_STATUS,official site docs plus current CLI,PR69_CI_PENDING
docs/grace.md,Contributor-specific cluster scratch note,one_contributor,COMPAT_STATUS,no,yes,personal paths and environment,REWRITE_STATUS,docs/HPC.md,PR69_CI_PENDING
docs/past/grace.md,Historical contributor cluster scratch note,one_contributor,HISTORICAL_STATUS,no,yes,personal paths and environment,REWRITE_STATUS,docs/HPC.md,PR69_CI_PENDING
docs/multi_task_phm_foundation_model.md,Proposed multi-task model guide,researchers,EXPERIMENTAL_STATUS,no,yes,missing paths and unsupported support claims,REWRITE_STATUS,SUPPORTED_COMPONENTS.md|SUPPORTED_COMBINATIONS.md,PR69_CI_PENDING
docs/multitask_pretrain_finetune_guide.md,Proposed Pipeline03 training guide,researchers,HISTORICAL_STATUS,no,yes,invalid direct commands and unsupported metrics,REWRITE_STATUS,KNOWN_LIMITATIONS.md|docs/testing.md,PR69_CI_PENDING
docs/v0.1.0/**,v0.1.0 plans reports and decision evidence,maintainers|researchers,HISTORICAL_GROUP,partial,yes,commands and facts may be obsolete,PRESERVE_GROUP,docs/v0.1.0/README.md,GROUP_CLASSIFIED
docs/past/**,Older guides and migration notes,maintainers|researchers,HISTORICAL_GROUP,partial,yes,commands and facts may be obsolete,PRESERVE_GROUP,docs/past/README.md,GROUP_CLASSIFIED
configs/v0.0.9/**,Older configuration records,maintainers|researchers,HISTORICAL_GROUP,partial,yes,not maintained config surface,PRESERVE_GROUP,docs/archive policy,GROUP_CLASSIFIED
dev/** and dev/**/README*,Development experiments logs and scratch documentation,developers|researchers,DEVELOPMENT_GROUP,unknown,unknown,not fully inventoried as maintained docs,PRESERVE_REVIEW_REQUIRED,dev/README.md,GROUP_CLASSIFIED
paper/**,Paper sources notes and experiment records,researchers,RESEARCH_GROUP,unknown,unknown,requires claim provenance and publication context,PRESERVE_REVIEW_REQUIRED,each paper README,GROUP_CLASSIFIED
examples/README.md,Examples directory boundary,users|developers,MAINTAINED,no,no,no,RETAIN,examples/README.md,STATIC_REVIEW
scripts/README.md,Utility script index,developers,MAINTAINED,no,no,no,RETAIN,scripts/README.md,STATIC_REVIEW
source-code module docstrings and long comments,API and implementation explanation,developers,MIXED_GROUP,unknown,unknown,some act as unofficial docs,AUDIT_WHEN_TOUCHED,near-code README plus tests,GROUP_CLASSIFIED
