id,year,title,authors,venue,url,doi,task_family,method_family,repo_surface,support_status,notes
PHM2025-046,2025,An intelligent fault diagnosis model for bearings with adaptive hyperparameter tuning in multi-condition and limited sample scenarios,Li et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-92838-4,10.1038/s41598-025-92838-4,fault_diagnosis,optimization,task_factory.CDDG,candidate-baseline,Multi-condition limited-sample candidate
PHM2025-047,2025,TFDFNet: a dual-branch fault diagnosis model for bearings under noisy and complex industrial environments,Tang and Chen,Scientific Reports,https://www.nature.com/articles/s41598-025-19258-2,10.1038/s41598-025-19258-2,fault_diagnosis,multimodal_fusion,model_factory.X_model,candidate-baseline,Dual-branch fusion candidate
PHM2025-048,2025,A hybrid approach combining deep learning and signal processing for bearing fault diagnosis under imbalanced samples and multiple operating conditions,Zhang et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-98138-1,10.1038/s41598-025-98138-1,fault_diagnosis,domain_adaptation,task_factory.DG,candidate-baseline,GAN/transfer/multi-condition candidate
PHM2025-049,2025,A fault diagnosis method for rolling bearings in open-set domain adaptation with adversarial learning,Lei et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-88353-1,10.1038/s41598-025-88353-1,domain_generalization,domain_adaptation,task_factory.DG,candidate-baseline,Open-set DA not directly supported
PHM2025-050,2025,Enhancing unsupervised bearing fault diagnosis through structured prediction in latent subspace,Liu et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-26013-0,10.1038/s41598-025-26013-0,anomaly_detection,unsupervised,unsupported.runtime,candidate-baseline,Unsupervised diagnosis candidate
PHM2025-051,2025,Advanced deep learning approach for the fault severity classification of rolling-element bearings,Parmar et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-16895-5,10.1038/s41598-025-16895-5,fault_diagnosis,signal_processing,task_factory.DG,candidate-baseline,Severity classification candidate
PHM2025-052,2025,Discriminative fault diagnosis transfer learning network under joint mechanism,Yang et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-93996-1,10.1038/s41598-025-93996-1,domain_generalization,domain_adaptation,task_factory.DG,candidate-baseline,Transfer learning maps to DG candidates
PHM2025-053,2025,Domain Generalization for Bearing Fault Diagnosis via Meta-Learning with Gradient Alignment and Data Augmentation,Chen et al.,Machines,https://www.mdpi.com/2075-1702/13/10/960,10.3390/machines13100960,domain_generalization,domain_generalization,task_factory.DG,candidate-baseline,DG meta-learning candidate
PHM2025-054,2025,Unsupervised multiple-target domain adaptation for bearing fault diagnosis,Bai et al.,Engineering Applications of Artificial Intelligence,https://www.sciencedirect.com/science/article/pii/S0952197625010644,10.1016/j.engappai.2025.111063,domain_generalization,domain_adaptation,task_factory.CDDG,candidate-baseline,Multiple-target DA candidate
PHM2025-055,2025,Numerical Simulation Data-Aided Domain-Adaptive Generalization Method for Fault Diagnosis,Yan et al.,Sensors,https://www.mdpi.com/1424-8220/25/11/3482,10.3390/s25113482,domain_generalization,domain_generalization,task_factory.CDDG,candidate-baseline,Simulation-aided DA/DG candidate
PHM2025-056,2025,A novel domain generalization network integrating invariance and cohesiveness for rolling bearing fault diagnosis,Huo et al.,Structural Health Monitoring,https://journals.sagepub.com/doi/abs/10.1177/14759217251384919,10.1177/14759217251384919,domain_generalization,domain_generalization,task_factory.DG,candidate-baseline,DG invariance/cohesiveness candidate
PHM2025-057,2025,An unsupervised transfer learning bearing fault diagnosis method based on multi-channel calibrated Transformer with shiftable window,Zhi et al.,Structural Health Monitoring,https://journals.sagepub.com/doi/abs/10.1177/14759217251324671,10.1177/14759217251324671,domain_generalization,transformer,model_factory.Transformer,candidate-baseline,Transformer transfer candidate
PHM2025-058,2025,A dual-perspective joint domain generalization network for bearing fault diagnosis under unseen working conditions,Huang et al.,Advanced Engineering Informatics,https://www.sciencedirect.com/science/article/pii/S1474034625003404,10.1016/j.aei.2025.103447,domain_generalization,domain_generalization,task_factory.DG,candidate-baseline,Dual-perspective DG candidate
