path,cls,owner,future_pr,deps,decision,reason
configs/experiments/model_integration/timesnet_dummy.yaml,D4 TEST_CONFIG_DOC,source:M187,NOT_CREATED,source:M187; existing DG.classification,CONDITIONAL_REPLAY_AFTER_GATE,Config is meaningful only with an adopted candidate and its verified Task contract.
configs/experiments/model_integration/tslanet_dummy.yaml,D4 TEST_CONFIG_DOC,source:M019,NOT_CREATED,source:M019; existing DG.classification,CONDITIONAL_REPLAY_AFTER_GATE,Config is meaningful only with an adopted candidate and its verified Task contract.
configs/experiments/model_integration/tsmixer_dummy.yaml,D4 TEST_CONFIG_DOC,UNMAPPED:TSMixer,NOT_CREATED,UNMAPPED:TSMixer; S2_TASK_POINT_FORECASTING,DISCARD_PENDING_NEW_CANDIDATE_AUDIT,No TSMixer source row exists in the preserved 187-row workbook; no G1/G2 decision exists.
doc/changelog/2026-09-18-forecast-model-continuation.md,D4 TEST_CONFIG_DOC,FORECAST_MODEL_HISTORY,NOT_CREATED,S2 models,DISCARD_AND_REWRITE_PER_ACCEPTED_PR,Aggregated branch-progress changelog would misstate future bounded merges.
doc/changelog/2026-09-18-native-model-integration.md,D4 TEST_CONFIG_DOC,CLASSIFICATION_MODEL_HISTORY,NOT_CREATED,S1 models,DISCARD_AND_REWRITE_PER_ACCEPTED_PR,Aggregated branch-progress changelog would misstate future bounded merges.
src/data_factory/dataset_task/adapters.py,D2 TASK_CONTRACT,S2_TASK_POINT_FORECASTING,NOT_CREATED,existing DG Classification_dataset,SALVAGE_TASK_CANDIDATE,"Adds DG.point_forecasting adapter selection; must be reviewed with the S2 Task contract, not a model PR."
src/model_factory/CNN/ModernTCN.py,D3 MODEL_SPECIFIC,source:M016,NOT_CREATED,existing DG.classification; SHARED_CLASS_VALIDATION,SALVAGE_CANDIDATE_AUDIT_REQUIRED,S1 modern-convolution candidate; source table points to PyPOTS while PR port cites luodhhh official code.
src/model_factory/CNN/TSLANet.py,D3 MODEL_SPECIFIC,source:M019,NOT_CREATED,existing DG.classification; SHARED_CLASS_VALIDATION,SALVAGE_CANDIDATE_AUDIT_REQUIRED,S1 spectral-bias candidate; source/variant in workbook differs from PR's official classification source.
src/model_factory/CNN/TimesNet.py,D3 MODEL_SPECIFIC,source:M187,NOT_CREATED,existing DG.classification; SHARED_CLASS_VALIDATION,SALVAGE_CANDIDATE_AUDIT_REQUIRED,Source family aligns with THUML but workbook role is forecasting baseline while PR implements a classification variant.
src/model_factory/MLP/FITS.py,D3 MODEL_SPECIFIC,source:M030,NOT_CREATED,S2_TASK_POINT_FORECASTING; SHARED_FORECAST_VALIDATION,SALVAGE_CANDIDATE_AUDIT_REQUIRED,"S2 frequency candidate; PR explicitly changes training scope to horizon-only, so E2 needs variant-level audit."
src/model_factory/MLP/FreTS.py,D3 MODEL_SPECIFIC,source:M175,NOT_CREATED,S2_TASK_POINT_FORECASTING; SHARED_FORECAST_VALIDATION,SALVAGE_CANDIDATE_AUDIT_REQUIRED,S2 frequency-MLP candidate overlaps FITS/SparseTSF; G2 representative role not yet decided.
src/model_factory/MLP/LightTS.py,D3 MODEL_SPECIFIC,source:M178,NOT_CREATED,S2_TASK_POINT_FORECASTING; SHARED_FORECAST_VALIDATION,SALVAGE_CANDIDATE_AUDIT_REQUIRED,S2 sampling-oriented baseline candidate; inclusion relative to simpler/modern roles not yet decided.
src/model_factory/MLP/NHITS.py,D3 MODEL_SPECIFIC,source:M180,NOT_CREATED,S2_TASK_POINT_FORECASTING; SHARED_FORECAST_VALIDATION,SALVAGE_CANDIDATE_AUDIT_REQUIRED,Candidate table names N-HiTS/BasicTS while PR uses a native Nixtla-style implementation; identity/source fidelity must be reconciled.
src/model_factory/MLP/NLinear.py,D3 MODEL_SPECIFIC,source:M181,NOT_CREATED,S2_TASK_POINT_FORECASTING; SHARED_FORECAST_VALIDATION,SALVAGE_CANDIDATE_AUDIT_REQUIRED,"Clear S2 simple-linear control role, but exact source revision/license and Task prerequisite still require bounded audit."
src/model_factory/MLP/SOFTS.py,D3 MODEL_SPECIFIC,source:M044,NOT_CREATED,S2_TASK_POINT_FORECASTING; SHARED_FORECAST_VALIDATION,SALVAGE_CANDIDATE_AUDIT_REQUIRED,S2 cross-series mixing candidate; workbook and PR cite different source routes; role overlap must be assessed.
src/model_factory/MLP/SparseTSF.py,D3 MODEL_SPECIFIC,source:M046,NOT_CREATED,S2_TASK_POINT_FORECASTING; SHARED_FORECAST_VALIDATION,SALVAGE_CANDIDATE_AUDIT_REQUIRED,S2 sparse/periodic lightweight candidate; competes with other frequency/linear representatives.
src/model_factory/MLP/TSMixer.py,D3 MODEL_SPECIFIC,UNMAPPED:TSMixer,NOT_CREATED,S2_TASK_POINT_FORECASTING; SHARED_FORECAST_VALIDATION,DISCARD_PENDING_NEW_CANDIDATE_AUDIT,TSMixer is absent from the preserved 187-row source catalogue; no scientific-role/source disposition exists.
src/model_factory/MLP/TimeMixer.py,D3 MODEL_SPECIFIC,source:M021,NOT_CREATED,S2_TASK_POINT_FORECASTING; SHARED_FORECAST_VALIDATION,SALVAGE_CANDIDATE_AUDIT_REQUIRED,S2 multiscale modern candidate; workbook points to PyPOTS while PR port cites THUML implementation.
src/model_factory/RNN/SegRNN.py,D3 MODEL_SPECIFIC,source:M017,NOT_CREATED,S2_TASK_POINT_FORECASTING; SHARED_FORECAST_VALIDATION,SALVAGE_CANDIDATE_AUDIT_REQUIRED,S2 recurrent/segment-bias candidate; source route differs and G2 comparison remains open.
src/model_factory/Transformer/PAttn.py,D3 MODEL_SPECIFIC,source:M038,NOT_CREATED,S2_TASK_POINT_FORECASTING; SHARED_FORECAST_VALIDATION; source:M022 implementation,DO_NOT_REPLAY_AS_IS,"PR imports InvertedEncoderLayer from iTransformer.py, creating a hidden model-to-model dependency; must be neutralized if candidate is selected."
src/model_factory/Transformer/iTransformer.py,D3 MODEL_SPECIFIC,source:M022,NOT_CREATED,existing DG.classification; SHARED_CLASS_VALIDATION,SALVAGE_CANDIDATE_AUDIT_REQUIRED,S1 variate/channel-attention candidate; workbook points to PyPOTS while PR port cites THUML and changes task variant to classification.
src/model_factory/NATIVE_FORECASTING.md,D4 TEST_CONFIG_DOC,S2_MODEL_DOCS,NOT_CREATED,S2 task + multiple forecast candidates,DISCARD_AGGREGATE_REWRITE_PER_OWNER,Documents a four-model batch and fixed source claims; future docs follow accepted candidate PRs.
src/model_factory/NATIVE_MODELS.md,D4 TEST_CONFIG_DOC,S1_MODEL_DOCS,NOT_CREATED,multiple classification candidates,DISCARD_AGGREGATE_REWRITE_PER_OWNER,Documents three unrelated model ports as one maintained unit.
src/model_factory/_native_classification.py,D1 SHARED_PREREQUISITE,SHARED_CLASS_VALIDATION,NOT_CREATED,potential S1 model consumers,DO_NOT_REPLAY_AS_STANDALONE,Helper is useful only after >=2 adopted maintained consumers; notices and validators should live with real consumers or a neutral shared owner.
src/model_factory/_native_forecasting.py,D1 SHARED_PREREQUISITE,SHARED_FORECAST_VALIDATION,NOT_CREATED,S2 models; imports _native_classification,DISCARD_AS_IS_RECREATE_NEUTRAL_IF_NEEDED,"Forecast validation imports classification helper, creating cross-task coupling; recreate neutral helper only after >=2 approved consumers."
src/model_factory/model_registry.csv,D4 TEST_CONFIG_DOC,MODEL_DISCOVERY_INDEX,NOT_CREATED,source:M022; source:M187; source:M019,RECREATE_PER_VERIFIED_MODEL,Bulk three-model index update is incomplete relative to the 15 branch models and cannot precede candidate verification.
src/task_factory/Components/regularization.py,D0 DISCARD_FROM_CATALOG_SPLIT,INDEPENDENT_REGULARIZATION_BUG,NOT_CREATED,complex trainable parameters,EXTRACT_SEPARATE_BUG_ONLY_IF_REPRODUCED_ON_DEV,Real-valued complex L2 fix changes generic Task behavior and is not a model-catalogue prerequisite unless a current dev counterexample independently reproduces it.
src/task_factory/task/DG/point_forecasting.py,D2 TASK_CONTRACT,S2_TASK_POINT_FORECASTING,NOT_CREATED,DG dataset adapter; existing Default_task,SALVAGE_TASK_CANDIDATE,Defines new target construction/objective/metric semantics; it must be a bounded Task-contract PR before any forecast model adoption.
test/test_modern_tcn_native.py,D4 TEST_CONFIG_DOC,source:M016,NOT_CREATED,ModernTCN implementation,CONDITIONAL_REPLAY_AFTER_GATE,Keep useful fidelity cases only if ModernTCN passes G1–G7; split from mega suite.
test/test_native_forecasting.py,D4 TEST_CONFIG_DOC,source:M181|source:M046|source:M030|source:M017,NOT_CREATED,S2 task + four models,SPLIT_BY_TASK_AND_SELECTED_MODEL,Mixed test file couples independent models; retain Task counterexamples separately from each model fidelity oracle.
test/test_native_forecasting_extensions.py,D4 TEST_CONFIG_DOC,source:M044|source:M175|UNMAPPED:TSMixer,NOT_CREATED,S2 task + three models,SPLIT_AND_DROP_UNMAPPED_CASES,SOFTS/FreTS are conditional candidates; TSMixer has no catalogue audit.
test/test_native_forecasting_interpolation.py,D4 TEST_CONFIG_DOC,source:M180|source:M038|source:M178,NOT_CREATED,S2 task + three models,SPLIT_BY_SELECTED_MODEL,Fidelity tests are valuable but belong to independently selected candidates; PAttn coupling must be fixed first.
test/test_native_model_ports.py,D4 TEST_CONFIG_DOC,source:M022|source:M187|source:M019,NOT_CREATED,classification models,SPLIT_BY_SELECTED_MODEL,Three unrelated architectures share one test file; future PRs retain candidate-specific oracle/negative cases.
test/test_native_model_public_path.py,D4 TEST_CONFIG_DOC,PUBLIC_SMOKE_FIXTURE,NOT_CREATED,all 15 branch models,REBUILD_FOR_APPROVED_SET,"Monolithic parameter list turns catalogue size into CI cost; future shared fixture may exist, but rows only for verified candidates."
test/test_timemixer_native.py,D4 TEST_CONFIG_DOC,source:M021,NOT_CREATED,TimeMixer implementation,CONDITIONAL_REPLAY_AFTER_GATE,Keep only after TimeMixer passes scientific and source/fidelity audit.
